continent,location,total_cases,total_deaths,fully_vaccinated,population,gdp_per_capita,cases_per_million,deaths_per_million,fully_vaccinated_per_million
Europe,Cyprus,596297,1191,72074241,896007,32415.132,665504.8454,1329.2307,80439372.6835
Europe,Czechia,4154346,41522,3227136642,10510750,32605.906,395247.3420,3950.4317,307032004.5668
Africa,"Democratic Republic of Congo",93027,1445,34658320,95894118,808.133,970.1012,15.0687,361422.7934
Europe,Denmark,3327948,7193,2223352249,5854240,46682.515,568467.9822,1228.6821,379784950.5657
Africa,Djibouti,15690,189,4940397,1105557,2705.406,14191.9413,170.9546,4468694.9655
"North America",Dominica,15794,74,2062811,72412,9673.367,218113.0199,1021.9301,28487143.0150
"North America","Dominican Republic",647205,4384,2507932417,11117874,14600.861,58213.0181,394.3200,225576618.0656
"South America",Ecuador,1019026,23270,4646056045,17797737,10581.936,57255.9309,1307.4696,261047572.7897
Africa,Egypt,515645,24798,1493726766,109262178,10550.206,4719.3366,226.9587,13671032.3128
"North America","El Salvador",201877,4230,423888184,6314167,7292.458,31972.0717,669.9221,67132875.0095
Africa,"Equatorial Guinea",17230,183,10472080,1634466,22604.873,10541.6693,111.9632,6407034.4688
Africa,Eritrea,10185,103,NULL,3620312,1510.459,2813.2934,28.4506,NULL
Europe,Estonia,606392,2738,391616485,1328701,29481.252,456379.5767,2060.6592,294736351.5193
Africa,Eswatini,73526,1422,11533474,1192271,7738.975,61668.8656,1192.6819,9673533.9533
Africa,Ethiopia,493875,7572,247280294,120283026,1729.927,4105.9409,62.9515,2055820.3616
